folder , version, last available data, number of countries , number of zones , countries , modelling zones , 
./runs/base-fullrun-20200423T193320-3638456 , v2, 2020-03-24 , 13 , 27, "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , "Austria"; "Auvergne-Rhône-Alpes"; "Belgium"; "Bourgogne-Franche-Comté"; "Bretagne"; "Corse"; "Denmark"; "France"; "France-OC19"; "France-hopitaux"; "Germany"; "Grand Est"; "Greece"; "Hauts-de-France"; "Italy"; "Netherlands"; "Normandie"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Portugal"; "Provence-Alpes-Côte d'Azur"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; "Île-de-France"; , 
./runs/base-fullrun-20200501T180704-3677777 , v3, 2020-03-24 , 13 , 27, "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , "Austria"; "Auvergne-Rhône-Alpes"; "Belgium"; "Bourgogne-Franche-Comté"; "Bretagne"; "Corse"; "Denmark"; "France"; "France-OC19"; "France-hopitaux"; "Germany"; "Grand Est"; "Greece"; "Hauts-de-France"; "Italy"; "Netherlands"; "Normandie"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Portugal"; "Provence-Alpes-Côte d'Azur"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; "Île-de-France"; , 
./runs/base-mobility-fullrun-20200526T225333-3789803 , v5, 2020-03-24 , 13 , 27, "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , "Austria"; "Auvergne-Rhône-Alpes"; "Belgium"; "Bourgogne-Franche-Comté"; "Bretagne"; "Corse"; "Denmark"; "France"; "France-OC19"; "France-hopitaux"; "Germany"; "Grand Est"; "Greece"; "Hauts-de-France"; "Italy"; "Netherlands"; "Normandie"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Portugal"; "Provence-Alpes-Côte d'Azur"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; "Île-de-France"; , 
./runs/base-mobility-fullrun-20200527T230708-3790664 , v5, 2020-03-24 , 13 , 27, "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , "Austria"; "Auvergne-Rhône-Alpes"; "Belgium"; "Bourgogne-Franche-Comté"; "Bretagne"; "Corse"; "Denmark"; "France"; "France-OC19"; "France-hopitaux"; "Germany"; "Grand Est"; "Greece"; "Hauts-de-France"; "Italy"; "Netherlands"; "Normandie"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Portugal"; "Provence-Alpes-Côte d'Azur"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; "Île-de-France"; , 
./runs/base-mobility-fullrun-20200528T222228-3792702 , v5, 2020-03-24 , 13 , 27, "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , "Austria"; "Auvergne-Rhône-Alpes"; "Belgium"; "Bourgogne-Franche-Comté"; "Bretagne"; "Corse"; "Denmark"; "France"; "France-OC19"; "France-hopitaux"; "Germany"; "Grand Est"; "Greece"; "Hauts-de-France"; "Italy"; "Netherlands"; "Normandie"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Portugal"; "Provence-Alpes-Côte d'Azur"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; "Île-de-France"; , 
./runs/base-fullrun-20200424T082058-3641029 , v2, 2020-04-01 , 1 , 17, "France"; , "Auvergne-Rhône-Alpes"; "Bourgogne-Franche-Comté"; "Bretagne"; "Centre-Val de Loire"; "Corse"; "France"; "France-EHPAD"; "France-OC19"; "France-hopitaux"; "Grand Est"; "Hauts-de-France"; "Normandie"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Provence-Alpes-Côte d'Azur"; "Île-de-France"; , 
./runs/base-fullrun-20200501T183651-3677779 , v3, 2020-04-01 , 1 , 17, "France"; , "Auvergne-Rhône-Alpes"; "Bourgogne-Franche-Comté"; "Bretagne"; "Centre-Val de Loire"; "Corse"; "France"; "France-EHPAD"; "France-OC19"; "France-hopitaux"; "Grand Est"; "Hauts-de-France"; "Normandie"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Provence-Alpes-Côte d'Azur"; "Île-de-France"; , 
./runs/base-fullrun-20200501T232557-3678269 , v3, 2020-04-01 , 1 , 61, "France"; , "Ain"; "Aisne"; "Alpes-Maritimes"; "Ardèche"; "Aube"; "Aude"; "Bas-Rhin"; "Bouches-du-Rhône"; "Charente-Maritime"; "Cher"; "Corse-du-Sud"; "Côte-d'Or"; "Doubs"; "Drôme"; "Essonne"; "Eure-et-Loir"; "France"; "Gard"; "Gironde"; "Guadeloupe"; "Haut-Rhin"; "Haute-Garonne"; "Haute-Savoie"; "Haute-Saône"; "Hauts-de-Seine"; "Hérault"; "Ille-et-Vilaine"; "Indre"; "Indre-et-Loire"; "Isère"; "Loire"; "Loire-Atlantique"; "Loiret"; "Maine-et-Loire"; "Manche"; "Marne"; "Meurthe-et-Moselle"; "Meuse"; "Morbihan"; "Moselle"; "Nord"; "Oise"; "Paris"; "Pas-de-Calais"; "Pyrénées-Atlantiques"; "Pyrénées-Orientales"; "Rhône"; "Sarthe"; "Saône-et-Loire"; "Seine-Maritime"; "Seine-Saint-Denis"; "Seine-et-Marne"; "Somme"; "Territoire de Belfort"; "Val-d'Oise"; "Val-de-Marne"; "Var"; "Vaucluse"; "Vienne"; "Vosges"; "Yvelines"; , 
./runs/base-fullrun-20200423T193324-3638456 , v2, 2020-04-01 , 14 , 30, "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Norway"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , "Austria"; "Auvergne-Rhône-Alpes"; "Belgium"; "Bourgogne-Franche-Comté"; "Bretagne"; "Centre-Val de Loire"; "Corse"; "Denmark"; "France"; "France-EHPAD"; "France-OC19"; "France-hopitaux"; "Germany"; "Grand Est"; "Greece"; "Hauts-de-France"; "Italy"; "Netherlands"; "Normandie"; "Norway"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Portugal"; "Provence-Alpes-Côte d'Azur"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; "Île-de-France"; , 
./runs/base-fullrun-20200501T180712-3677777 , v3, 2020-04-01 , 14 , 30, "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Norway"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , "Austria"; "Auvergne-Rhône-Alpes"; "Belgium"; "Bourgogne-Franche-Comté"; "Bretagne"; "Centre-Val de Loire"; "Corse"; "Denmark"; "France"; "France-EHPAD"; "France-OC19"; "France-hopitaux"; "Germany"; "Grand Est"; "Greece"; "Hauts-de-France"; "Italy"; "Netherlands"; "Normandie"; "Norway"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Portugal"; "Provence-Alpes-Côte d'Azur"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; "Île-de-France"; , 
./runs/base-fullrun-20200501T183702-3677779 , v3, 2020-04-04 , 1 , 17, "France"; , "Auvergne-Rhône-Alpes"; "Bourgogne-Franche-Comté"; "Bretagne"; "Centre-Val de Loire"; "Corse"; "France"; "France-EHPAD"; "France-OC19"; "France-hopitaux"; "Grand Est"; "Hauts-de-France"; "Normandie"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Provence-Alpes-Côte d'Azur"; "Île-de-France"; , 
./runs/base-fullrun-20200501T232618-3678269 , v3, 2020-04-04 , 1 , 72, "France"; , "Ain"; "Aisne"; "Alpes-Maritimes"; "Ardèche"; "Aube"; "Aude"; "Aveyron"; "Bas-Rhin"; "Bouches-du-Rhône"; "Calvados"; "Charente-Maritime"; "Cher"; "Corse-du-Sud"; "Côte-d'Or"; "Côtes-d'Armor"; "Doubs"; "Drôme"; "Essonne"; "Eure"; "Eure-et-Loir"; "France"; "Gard"; "Gironde"; "Guadeloupe"; "Haut-Rhin"; "Haute-Garonne"; "Haute-Marne"; "Haute-Savoie"; "Haute-Saône"; "Hauts-de-Seine"; "Hérault"; "Ille-et-Vilaine"; "Indre"; "Indre-et-Loire"; "Isère"; "Jura"; "Loir-et-Cher"; "Loire"; "Loire-Atlantique"; "Loiret"; "Maine-et-Loire"; "Manche"; "Marne"; "Mayenne"; "Meurthe-et-Moselle"; "Meuse"; "Morbihan"; "Moselle"; "Nord"; "Oise"; "Paris"; "Pas-de-Calais"; "Pyrénées-Atlantiques"; "Pyrénées-Orientales"; "Rhône"; "Sarthe"; "Savoie"; "Saône-et-Loire"; "Seine-Maritime"; "Seine-Saint-Denis"; "Seine-et-Marne"; "Somme"; "Territoire de Belfort"; "Val-d'Oise"; "Val-de-Marne"; "Var"; "Vaucluse"; "Vendée"; "Vienne"; "Vosges"; "Yonne"; "Yvelines"; , 
./runs/base-fullrun-20200501T180728-3677777 , v3, 2020-04-04 , 14 , 30, "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Norway"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , "Austria"; "Auvergne-Rhône-Alpes"; "Belgium"; "Bourgogne-Franche-Comté"; "Bretagne"; "Centre-Val de Loire"; "Corse"; "Denmark"; "France"; "France-EHPAD"; "France-OC19"; "France-hopitaux"; "Germany"; "Grand Est"; "Greece"; "Hauts-de-France"; "Italy"; "Netherlands"; "Normandie"; "Norway"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Portugal"; "Provence-Alpes-Côte d'Azur"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; "Île-de-France"; , 
./runs/base-mobility-fullrun-20200526T231453-3789805 , v5, 2020-04-05 , 1 , 16, "France"; , "Auvergne-Rhône-Alpes"; "Bourgogne-Franche-Comté"; "Bretagne"; "Centre-Val de Loire"; "Corse"; "France-EHPAD"; "France-OC19"; "France-hopitaux"; "Grand Est"; "Hauts-de-France"; "Normandie"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Provence-Alpes-Côte d'Azur"; "Île-de-France"; , 
./runs/base-mobility-fullrun-20200528T223113-3792704 , v5, 2020-04-05 , 1 , 16, "France"; , "Auvergne-Rhône-Alpes"; "Bourgogne-Franche-Comté"; "Bretagne"; "Centre-Val de Loire"; "Corse"; "France-EHPAD"; "France-OC19"; "France-hopitaux"; "Grand Est"; "Hauts-de-France"; "Normandie"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Provence-Alpes-Côte d'Azur"; "Île-de-France"; , 
./runs/base-fullrun-20200424T082105-3641029 , v2, 2020-04-05 , 1 , 17, "France"; , "Auvergne-Rhône-Alpes"; "Bourgogne-Franche-Comté"; "Bretagne"; "Centre-Val de Loire"; "Corse"; "France"; "France-EHPAD"; "France-OC19"; "France-hopitaux"; "Grand Est"; "Hauts-de-France"; "Normandie"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Provence-Alpes-Côte d'Azur"; "Île-de-France"; , 
./runs/base-mobility-fullrun-20200526T225346-3789804 , v5, 2020-04-05 , 14 , 14, "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Norway"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Norway"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , 
./runs/base-mobility-fullrun-20200527T230727-3790665 , v5, 2020-04-05 , 14 , 14, "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Norway"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Norway"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , 
./runs/base-mobility-fullrun-20200528T222241-3792703 , v5, 2020-04-05 , 14 , 14, "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Norway"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Norway"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , 
./runs/base-mobility-fullrun-20200526T225347-3789803 , v5, 2020-04-05 , 14 , 30, "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Norway"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , "Austria"; "Auvergne-Rhône-Alpes"; "Belgium"; "Bourgogne-Franche-Comté"; "Bretagne"; "Centre-Val de Loire"; "Corse"; "Denmark"; "France"; "France-EHPAD"; "France-OC19"; "France-hopitaux"; "Germany"; "Grand Est"; "Greece"; "Hauts-de-France"; "Italy"; "Netherlands"; "Normandie"; "Norway"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Portugal"; "Provence-Alpes-Côte d'Azur"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; "Île-de-France"; , 
./runs/base-mobility-fullrun-20200527T230723-3790664 , v5, 2020-04-05 , 14 , 30, "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Norway"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , "Austria"; "Auvergne-Rhône-Alpes"; "Belgium"; "Bourgogne-Franche-Comté"; "Bretagne"; "Centre-Val de Loire"; "Corse"; "Denmark"; "France"; "France-EHPAD"; "France-OC19"; "France-hopitaux"; "Germany"; "Grand Est"; "Greece"; "Hauts-de-France"; "Italy"; "Netherlands"; "Normandie"; "Norway"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Portugal"; "Provence-Alpes-Côte d'Azur"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; "Île-de-France"; , 
./runs/base-mobility-fullrun-20200528T222242-3792702 , v5, 2020-04-05 , 14 , 30, "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Norway"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , "Austria"; "Auvergne-Rhône-Alpes"; "Belgium"; "Bourgogne-Franche-Comté"; "Bretagne"; "Centre-Val de Loire"; "Corse"; "Denmark"; "France"; "France-EHPAD"; "France-OC19"; "France-hopitaux"; "Germany"; "Grand Est"; "Greece"; "Hauts-de-France"; "Italy"; "Netherlands"; "Normandie"; "Norway"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Portugal"; "Provence-Alpes-Côte d'Azur"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; "Île-de-France"; , 
./runs/base-fullrun-20200501T183718-3677779 , v3, 2020-04-08 , 1 , 17, "France"; , "Auvergne-Rhône-Alpes"; "Bourgogne-Franche-Comté"; "Bretagne"; "Centre-Val de Loire"; "Corse"; "France"; "France-EHPAD"; "France-OC19"; "France-hopitaux"; "Grand Est"; "Hauts-de-France"; "Normandie"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Provence-Alpes-Côte d'Azur"; "Île-de-France"; , 
./runs/base-fullrun-20200501T232638-3678269 , v3, 2020-04-08 , 1 , 78, "France"; , "Ain"; "Aisne"; "Allier"; "Alpes-Maritimes"; "Ardèche"; "Aube"; "Aude"; "Aveyron"; "Bas-Rhin"; "Bouches-du-Rhône"; "Calvados"; "Charente-Maritime"; "Cher"; "Corrèze"; "Corse-du-Sud"; "Côte-d'Or"; "Côtes-d'Armor"; "Doubs"; "Drôme"; "Essonne"; "Eure"; "Eure-et-Loir"; "Finistère"; "France"; "Gard"; "Gironde"; "Guadeloupe"; "Haut-Rhin"; "Haute-Garonne"; "Haute-Marne"; "Haute-Savoie"; "Haute-Saône"; "Haute-Vienne"; "Hauts-de-Seine"; "Hérault"; "Ille-et-Vilaine"; "Indre"; "Indre-et-Loire"; "Isère"; "Jura"; "Loir-et-Cher"; "Loire"; "Loire-Atlantique"; "Loiret"; "Maine-et-Loire"; "Manche"; "Marne"; "Mayenne"; "Meurthe-et-Moselle"; "Meuse"; "Morbihan"; "Moselle"; "Nord"; "Oise"; "Orne"; "Paris"; "Pas-de-Calais"; "Puy-de-Dôme"; "Pyrénées-Atlantiques"; "Pyrénées-Orientales"; "Rhône"; "Sarthe"; "Savoie"; "Saône-et-Loire"; "Seine-Maritime"; "Seine-Saint-Denis"; "Seine-et-Marne"; "Somme"; "Territoire de Belfort"; "Val-d'Oise"; "Val-de-Marne"; "Var"; "Vaucluse"; "Vendée"; "Vienne"; "Vosges"; "Yonne"; "Yvelines"; , 
./runs/base-fullrun-20200501T180743-3677777 , v3, 2020-04-08 , 14 , 30, "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Norway"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , "Austria"; "Auvergne-Rhône-Alpes"; "Belgium"; "Bourgogne-Franche-Comté"; "Bretagne"; "Centre-Val de Loire"; "Corse"; "Denmark"; "France"; "France-EHPAD"; "France-OC19"; "France-hopitaux"; "Germany"; "Grand Est"; "Greece"; "Hauts-de-France"; "Italy"; "Netherlands"; "Normandie"; "Norway"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Portugal"; "Provence-Alpes-Côte d'Azur"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; "Île-de-France"; , 
./runs/base-fullrun-20200424T082116-3641029 , v2, 2020-04-10 , 1 , 17, "France"; , "Auvergne-Rhône-Alpes"; "Bourgogne-Franche-Comté"; "Bretagne"; "Centre-Val de Loire"; "Corse"; "France"; "France-EHPAD"; "France-OC19"; "France-hopitaux"; "Grand Est"; "Hauts-de-France"; "Normandie"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Provence-Alpes-Côte d'Azur"; "Île-de-France"; , 
./runs/base-fullrun-20200501T183733-3677779 , v3, 2020-04-12 , 1 , 17, "France"; , "Auvergne-Rhône-Alpes"; "Bourgogne-Franche-Comté"; "Bretagne"; "Centre-Val de Loire"; "Corse"; "France"; "France-EHPAD"; "France-OC19"; "France-hopitaux"; "Grand Est"; "Hauts-de-France"; "Normandie"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Provence-Alpes-Côte d'Azur"; "Île-de-France"; , 
./runs/base-fullrun-20200501T232659-3678269 , v3, 2020-04-12 , 1 , 83, "France"; , "Ain"; "Aisne"; "Allier"; "Alpes-Maritimes"; "Ardennes"; "Ardèche"; "Aube"; "Aude"; "Aveyron"; "Bas-Rhin"; "Bouches-du-Rhône"; "Calvados"; "Charente-Maritime"; "Cher"; "Corrèze"; "Corse-du-Sud"; "Côte-d'Or"; "Côtes-d'Armor"; "Deux-Sèvres"; "Doubs"; "Drôme"; "Essonne"; "Eure"; "Eure-et-Loir"; "Finistère"; "France"; "Gard"; "Gironde"; "Guadeloupe"; "Haut-Rhin"; "Haute-Garonne"; "Haute-Marne"; "Haute-Savoie"; "Haute-Saône"; "Haute-Vienne"; "Hauts-de-Seine"; "Hérault"; "Ille-et-Vilaine"; "Indre"; "Indre-et-Loire"; "Isère"; "Jura"; "Landes"; "Loir-et-Cher"; "Loire"; "Loire-Atlantique"; "Loiret"; "Maine-et-Loire"; "Manche"; "Marne"; "Martinique"; "Mayenne"; "Meurthe-et-Moselle"; "Meuse"; "Morbihan"; "Moselle"; "Nord"; "Oise"; "Orne"; "Paris"; "Pas-de-Calais"; "Puy-de-Dôme"; "Pyrénées-Atlantiques"; "Pyrénées-Orientales"; "Rhône"; "Sarthe"; "Savoie"; "Saône-et-Loire"; "Seine-Maritime"; "Seine-Saint-Denis"; "Seine-et-Marne"; "Somme"; "Tarn"; "Territoire de Belfort"; "Val-d'Oise"; "Val-de-Marne"; "Var"; "Vaucluse"; "Vendée"; "Vienne"; "Vosges"; "Yonne"; "Yvelines"; , 
./runs/base-fullrun-20200501T180759-3677777 , v3, 2020-04-12 , 14 , 30, "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Norway"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , "Austria"; "Auvergne-Rhône-Alpes"; "Belgium"; "Bourgogne-Franche-Comté"; "Bretagne"; "Centre-Val de Loire"; "Corse"; "Denmark"; "France"; "France-EHPAD"; "France-OC19"; "France-hopitaux"; "Germany"; "Grand Est"; "Greece"; "Hauts-de-France"; "Italy"; "Netherlands"; "Normandie"; "Norway"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Portugal"; "Provence-Alpes-Côte d'Azur"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; "Île-de-France"; , 
./runs/base-fullrun-20200415T200000-1366540 , v2, 2020-04-13 , 1 , 16, "France"; , "Auvergne-Rhône-Alpes"; "Bourgogne-Franche-Comté"; "Bretagne"; "Centre-Val de Loire"; "Corse"; "France"; "France-EHPAD"; "France-hopitaux"; "Grand Est"; "Hauts-de-France"; "Normandie"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Provence-Alpes-Côte d'Azur"; "Île-de-France"; , 
./runs/base-fullrun-20200416T224705-844325 , v2, 2020-04-15 , 14 , 29, "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Norway"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , "Austria"; "Auvergne-Rhône-Alpes"; "Belgium"; "Bourgogne-Franche-Comté"; "Bretagne"; "Centre-Val de Loire"; "Corse"; "Denmark"; "France"; "France-EHPAD"; "France-hopitaux"; "Germany"; "Grand Est"; "Greece"; "Hauts-de-France"; "Italy"; "Netherlands"; "Normandie"; "Norway"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Portugal"; "Provence-Alpes-Côte d'Azur"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; "Île-de-France"; , 
